pid,jpn name
0,延暦寺
1,高山寺
2,神護寺
3,愛宕念仏寺
4,化野念仏寺
5,祇王寺
6,清涼寺
7,二尊院
8,常寂光寺
9,トロッコ嵐山駅
10,天龍寺
11,嵐山モンキーパーク
12,法輪寺
13,竹林の小径
14,嵐山公園 亀山地区
15,大河内山荘庭園
16,渡月橋
17,嵐山公園 中之島地区
18,宝筐院
19,大覚寺
20,嵐山駅前
21,鹿王院
22,車折神社
23,太秦映画村
24,広隆寺
25,大仙寺
26,仁和寺
27,福王子神社
28,龍安寺
29,蓮華寺
30,金閣寺
31,わら天神
32,平野神社
33,北野天満宮
34,妙心寺
35,大徳寺
36,上賀茂神社
37,京都府立植物園
38,白峯神宮
39,晴明神社
40,相国寺
41,京都御所
42,鈴虫寺
43,二条城
44,下鴨神社
45,貴船神社
46,鞍馬寺
47,寂光院
48,三千院
49,修学院離宮
50,曼殊院門跡
51,詩仙堂
52,銀閣寺
53,京都大学
54,哲学の道
55,法然院
56,安楽寺
57,永観堂
58,南禅寺
59,平安神宮
60,岡崎公園
61,青蓮院
62,知恩院
63,円山公園
64,八坂神社
65,高台寺
66,霊山観音
67,京都霊山護国神社
68,清水寺
69,二年坂
70,三年坂
71,建仁寺
72,祇園
73,三十三間堂
74,智積院
75,豊国神社
76,伏見稲荷大社
77,東福寺
78,東寺
79,東本願寺
80,京都水族館
81,京都タワー
82,醍醐寺
83,平等院
84,仏徳山 興聖寺
85,明星山 三室戸寺
86,萬福寺
87,護王神社
88,河原町
89,壬生寺
90,聖護院
